,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord,X,Y,Rating_scaled
22,8.2,28.6001655,76.9160966,YADAV SWEETS,0,"Rawta More, Jaffarpur Kalan, Delhi","Rawta More, Jaffarpur Kalan, Delhi, 110073, India",0,0,3.9344622676901557,6.816915261116753,0.06980985954065629,0.1450444944929297,0.5263157894736838
23,8.4,28.5986223,76.9167568,Half & full,0,"Main rawta mor dhansa road new delhi 11073, New delhi najafgarh","Main rawta mor dhansa road new delhi 11073, Rawta More, Jaffarpur Kalan, New delhi najafgarh, Delhi 110073, India",0,0,4.0936010311544235,6.725977372036854,0.07255587766799163,0.14305649439321913,0.5789473684210524
24,9.4,28.6358331,76.9621846,Aditya's ICE & SPICE FAST FOOD RESTAURANT,1,"Block A1, Naveen Palace, Jharoda Kalan","Block A1, Naveen Palace, Jharoda Kalan, Delhi, 110072, India",0,0,4.86809346005495,12.740309824129492,0.08592012785410265,0.2745362729038858,0.8421052631578949
25,9.6,28.6335375,76.9609478,Rakesh Chinese Food,0,"Vinoba Enclave Extn, Jharoda Kalan, Delhi","Vinoba Enclave Extn, Block A1, Naveen Palace, Jharoda Kalan, Delhi, 110072, India",0,0,4.938002594923894,12.46683570104632,0.08712644457692648,0.2685578343293997,0.894736842105263
26,8.6,28.6340784,76.9647676,Milkiyat Cafe CRPF Camp.,0,"Najafgarh Bahadurgarh Rd, Sainic Enc, Part 2, Najafgarh, Delhi","Najafgarh Bahadurgarh Rd, Sainic Enc, Part 2, Chanchal Park Colony, Najafgarh, Delhi, 110072, India",1,0,5.186738011326314,12.751051303058418,0.09141849729546299,0.27477109319054305,0.631578947368421
27,7.0,28.710538,77.0278979999999,Burger Street,1,"Main Road,, Shanti Nagar, Delhi","Main Road,, Shanti Nagar, Block A, Bhagya Vihar, Mubarakpur Dabas, Delhi, 110035, India",0,0,4.50731700136343,23.22463216062296,0.07969475149754193,0.5037348397634493,0.21052631578947367
28,9.6,28.726342,77.053286,Sunny Vaishno Dhaba,1,"Jain Nagar, Near Balaji Mandir, Bus Stand, Main Kanjhawala Road, Delhi","Jain Nagar, Near Balaji Mandir, Bus Stand, Main Kanjhawala Road, Sher Singh Enclave, Sector 39, Rohini, Delhi, 110081, India",0,0,5.294146542759747,26.15719246818349,0.09327188466586882,0.5678437633686075,0.894736842105263
29,8.2,28.7508354,77.0814872999999,Fast Food Corner (FFC),0,"Deep Vihar Road, Prahladpur Bangar, Sector 31, Rohini, Delhi","Deep Vihar Rd, Prahladpur Bangar, Sector 31, Rohini, Delhi, 110042, India",0,0,5.675993284722523,30.007949497591518,0.09986083918875072,0.6520254552451181,0.5263157894736838
30,9.8,28.773898,77.100302,Chicken Corner,0,"Unnamed Road, Khera Khurd, Delhi","Unnamed Road, Khera Khurd, Delhi, 110082, India",0,0,5.454021154397951,33.151813048413494,0.09603060021764437,0.7207536950992366,0.9473684210526316
31,9.4,28.797944,77.1281719999999,Madan Dhaba,0,"Narela Road, Alipur Village, Delhi","Narela Rd, Alipur Village, Delhi, 110036, India",0,0,5.842659853857471,36.94288975318592,0.10273675332872781,0.8036307108662974,0.8421052631578949
